classifier,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
SVM,Count,Char,Bigrams,1.0,0.1,1000,240,StandardScaler,0.18303834162925495,Split
RandomForest,Count,Char,Bigrams,1.0,0.1,1000,240,StandardScaler,0.1433082511331555,Split
kNN,Count,Char,Bigrams,1.0,0.1,1000,240,L1,0.1741424290437589,Split
Logit,Count,Char,Bigrams,1.0,0.1,1000,240,L1,0.02598083925478135,Split
SVM,Count,Char,Bigrams,1.0,0.1,1000,240,L1,0.1595073309207421,Split
RandomForest,Count,Char,Bigrams,1.0,0.1,1000,240,L1,0.13671422566550592,Split
kNN,Count,Char,Bigrams,1.0,0.1,1000,240,L2,0.19945208883464285,Split
Logit,Count,Char,Bigrams,1.0,0.1,1000,240,L2,0.1184527962776093,Split
SVM,Count,Char,Bigrams,1.0,0.1,1000,240,L2,0.15619641063646503,Split
RandomForest,Count,Char,Bigrams,1.0,0.1,1000,240,L2,0.13575936720911683,Split
kNN,Count,Char,Bigrams,1.0,0.2,None,220,StandardScaler,0.17110990596734468,Split
Logit,Count,Char,Bigrams,1.0,0.2,None,220,StandardScaler,0.2816862451940245,Split
SVM,Count,Char,Bigrams,1.0,0.2,None,220,StandardScaler,0.18832537212251746,Split
RandomForest,Count,Char,Bigrams,1.0,0.2,None,220,StandardScaler,0.14772981166761678,Split
kNN,Count,Char,Bigrams,1.0,0.2,None,220,L1,0.17306277169625994,Split
Logit,Count,Char,Bigrams,1.0,0.2,None,220,L1,0.02598083925478135,Split
SVM,Count,Char,Bigrams,1.0,0.2,None,220,L1,0.16234213219268973,Split
RandomForest,Count,Char,Bigrams,1.0,0.2,None,220,L1,0.13809701924532067,Split
kNN,Count,Char,Bigrams,1.0,0.2,None,220,L2,0.19300956932647026,Split
Logit,Count,Char,Bigrams,1.0,0.2,None,220,L2,0.11844882520423045,Split
SVM,Count,Char,Bigrams,1.0,0.2,None,220,L2,0.1612753698893303,Split
RandomForest,Count,Char,Bigrams,1.0,0.2,None,220,L2,0.1330509796391561,Split
kNN,Count,Char,Bigrams,1.0,0.2,1000,220,StandardScaler,0.17110990596734468,Split
Logit,Count,Char,Bigrams,1.0,0.2,1000,220,StandardScaler,0.2816862451940245,Split
SVM,Count,Char,Bigrams,1.0,0.2,1000,220,StandardScaler,0.18832537212251746,Split
