classifier,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
Logit,Count,Char,Bigrams,1.0,0.1,None,243,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,1.0,0.1,None,243,L1,0.16385670029793492,Split
RandomForest,Count,Char,Bigrams,1.0,0.1,None,243,L1,0.16109531236273603,Split
kNN,Count,Char,Bigrams,1.0,0.1,None,243,L2,0.1308494404166587,Split
Logit,Count,Char,Bigrams,1.0,0.1,None,243,L2,0.14700851700387238,Split
SVM,Count,Char,Bigrams,1.0,0.1,None,243,L2,0.16551978077231186,Split
RandomForest,Count,Char,Bigrams,1.0,0.1,None,243,L2,0.16624963913331403,Split
kNN,Count,Char,Bigrams,1.0,0.1,1000,243,StandardScaler,0.21461245424216038,Split
SVM,Count,Char,Bigrams,1.0,0.1,1000,243,StandardScaler,0.1731424261377966,Split
Logit,Count,Char,Bigrams,1.0,0.1,1000,243,StandardScaler,0.3379200067622707,Split
RandomForest,Count,Char,Bigrams,1.0,0.1,1000,243,StandardScaler,0.16141588727605566,Split
kNN,Count,Char,Bigrams,1.0,0.1,1000,243,L1,0.10314682911920327,Split
Logit,Count,Char,Bigrams,1.0,0.1,1000,243,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,1.0,0.1,1000,243,L1,0.16385670029793492,Split
RandomForest,Count,Char,Bigrams,1.0,0.1,1000,243,L1,0.15546631913491235,Split
kNN,Count,Char,Bigrams,1.0,0.1,1000,243,L2,0.1308494404166587,Split
Logit,Count,Char,Bigrams,1.0,0.1,1000,243,L2,0.14700851700387238,Split
SVM,Count,Char,Bigrams,1.0,0.1,1000,243,L2,0.16551978077231186,Split
RandomForest,Count,Char,Bigrams,1.0,0.1,1000,243,L2,0.16416479612613596,Split
kNN,Count,Char,Bigrams,1.0,0.2,None,224,StandardScaler,0.2530203116198614,Split
SVM,Count,Char,Bigrams,1.0,0.2,None,224,StandardScaler,0.17620483045365817,Split
Logit,Count,Char,Bigrams,1.0,0.2,None,224,StandardScaler,0.31145006090901994,Split
RandomForest,Count,Char,Bigrams,1.0,0.2,None,224,StandardScaler,0.15214713126278193,Split
kNN,Count,Char,Bigrams,1.0,0.2,None,224,L1,0.12078930008444981,Split
Logit,Count,Char,Bigrams,1.0,0.2,None,224,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,1.0,0.2,None,224,L1,0.16506908450500601,Split
RandomForest,Count,Char,Bigrams,1.0,0.2,None,224,L1,0.1566912618187317,Split
kNN,Count,Char,Bigrams,1.0,0.2,None,224,L2,0.13153490244282925,Split
Logit,Count,Char,Bigrams,1.0,0.2,None,224,L2,0.1463371780429518,Split
